HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
SAU,Saudi Arabia,HL70399,"F-R4, F-R6",,,,,SAU,,Saudi Arabia,urn:iso:std:iso:3166,,
SEN,Senegal,HL70399,"F-R4, F-R6",,,,,SEN,,Senegal,urn:iso:std:iso:3166,,
SRB,Serbia,HL70399,"F-R4, F-R6",,,,,SRB,,Serbia,urn:iso:std:iso:3166,,
SYC,Seychelles,HL70399,"F-R4, F-R6",,,,,SYC,,Seychelles,urn:iso:std:iso:3166,,
SLE,Sierra Leone,HL70399,"F-R4, F-R6",,,,,SLE,,Sierra Leone,urn:iso:std:iso:3166,,
SGP,Singapore,HL70399,"F-R4, F-R6",,,,,SGP,,Singapore,urn:iso:std:iso:3166,,
SXM,Sint Maarten (Dutch part),HL70399,"F-R4, F-R6",,,,,SXM,,Sint Maarten (Dutch part),urn:iso:std:iso:3166,,
SVK,Slovakia,HL70399,"F-R4, F-R6",,,,,SVK,,Slovakia,urn:iso:std:iso:3166,,
SVN,Slovenia,HL70399,"F-R4, F-R6",,,,,SVN,,Slovenia,urn:iso:std:iso:3166,,
SLB,Solomon Islands,HL70399,"F-R4, F-R6",,,,,SLB,,Solomon Islands,urn:iso:std:iso:3166,,
SOM,Somalia,HL70399,"F-R4, F-R6",,,,,SOM,,Somalia,urn:iso:std:iso:3166,,
ZAF,South Africa,HL70399,"F-R4, F-R6",,,,,ZAF,,South Africa,urn:iso:std:iso:3166,,
SGS,South Georgia and the South Sandwich Islands,HL70399,"F-R4, F-R6",,,,,SGS,,South Georgia and the South Sandwich Islands,urn:iso:std:iso:3166,,
SSD,South Sudan,HL70399,"F-R4, F-R6",,,,,SSD,,South Sudan,urn:iso:std:iso:3166,,
ESP,Spain,HL70399,"F-R4, F-R6",,,,,ESP,,Spain,urn:iso:std:iso:3166,,
LKA,Sri Lanka,HL70399,"F-R4, F-R6",,,,,LKA,,Sri Lanka,urn:iso:std:iso:3166,,
SDN,Sudan (the),HL70399,"F-R4, F-R6",,,,,SDN,,Sudan (the),urn:iso:std:iso:3166,,
SUR,Suriname,HL70399,"F-R4, F-R6",,,,,SUR,,Suriname,urn:iso:std:iso:3166,,
SJM,Svalbard and Jan Mayen,HL70399,"F-R4, F-R6",,,,,SJM,,Svalbard and Jan Mayen,urn:iso:std:iso:3166,,
SWE,Sweden,HL70399,"F-R4, F-R6",,,,,SWE,,Sweden,urn:iso:std:iso:3166,,
CHE,Switzerland,HL70399,"F-R4, F-R6",,,,,CHE,,Switzerland,urn:iso:std:iso:3166,,
SYR,Syrian Arab Republic (the),HL70399,"F-R4, F-R6",,,,,SYR,,Syrian Arab Republic (the),urn:iso:std:iso:3166,,
TWN,Taiwan (Province of China),HL70399,"F-R4, F-R6",,,,,TWN,,Taiwan (Province of China),urn:iso:std:iso:3166,,
TJK,Tajikistan,HL70399,"F-R4, F-R6",,,,,TJK,,Tajikistan,urn:iso:std:iso:3166,,
TZA,"Tanzania, the United Republic of",HL70399,"F-R4, F-R6",,,,,TZA,,"Tanzania, the United Republic of",urn:iso:std:iso:3166,,
THA,Thailand,HL70399,"F-R4, F-R6",,,,,THA,,Thailand,urn:iso:std:iso:3166,,
TLS,Timor-Leste,HL70399,"F-R4, F-R6",,,,,TLS,,Timor-Leste,urn:iso:std:iso:3166,,
TGO,Togo,HL70399,"F-R4, F-R6",,,,,TGO,,Togo,urn:iso:std:iso:3166,,
TKL,Tokelau,HL70399,"F-R4, F-R6",,,,,TKL,,Tokelau,urn:iso:std:iso:3166,,
TON,Tonga,HL70399,"F-R4, F-R6",,,,,TON,,Tonga,urn:iso:std:iso:3166,,
TTO,Trinidad and Tobago,HL70399,"F-R4, F-R6",,,,,TTO,,Trinidad and Tobago,urn:iso:std:iso:3166,,
TUN,Tunisia,HL70399,"F-R4, F-R6",,,,,TUN,,Tunisia,urn:iso:std:iso:3166,,
TKM,Turkmenistan,HL70399,"F-R4, F-R6",,,,,TKM,,Turkmenistan,urn:iso:std:iso:3166,,
TCA,Turks and Caicos Islands (the),HL70399,"F-R4, F-R6",,,,,TCA,,Turks and Caicos Islands (the),urn:iso:std:iso:3166,,
TUV,Tuvalu,HL70399,"F-R4, F-R6",,,,,TUV,,Tuvalu,urn:iso:std:iso:3166,,
TUR,Türkiye,HL70399,"F-R4, F-R6",,,,,TUR,,Türkiye,urn:iso:std:iso:3166,,
UGA,Uganda,HL70399,"F-R4, F-R6",,,,,UGA,,Uganda,urn:iso:std:iso:3166,,
UKR,Ukraine,HL70399,"F-R4, F-R6",,,,,UKR,,Ukraine,urn:iso:std:iso:3166,,
