HL7 v2,,,FHIR Version,,Condition (IF True),,,HL7 FHIR,,,,,Comments
LNA,Line arterial,HL70487,"F-R4, F-R6",,,,,LNA,,Line arterial,http://terminology.hl7.org/CodeSystem/v2-0487,,
LNV,Line venous,HL70487,"F-R4, F-R6",,,,,LNV,,Line venous,http://terminology.hl7.org/CodeSystem/v2-0487,,
LSAC,"Fluid, Lumbar Sac",HL70487,"F-R4, F-R6",,,,,LSAC,,"Fluid, Lumbar Sac",http://terminology.hl7.org/CodeSystem/v2-0487,,
LYM,Lymphocytes,HL70487,"F-R4, F-R6",,,,,LYM,,Lymphocytes,http://terminology.hl7.org/CodeSystem/v2-0487,,
MAC,Macrophages,HL70487,"F-R4, F-R6",,,,,MAC,,Macrophages,http://terminology.hl7.org/CodeSystem/v2-0487,,
MAHUR,"Catheter Tip, Makurkour",HL70487,"F-R4, F-R6",,,,,MAHUR,,"Catheter Tip, Makurkour",http://terminology.hl7.org/CodeSystem/v2-0487,,
MAR,Marrow,HL70487,"F-R4, F-R6",,,,,MAR,,Marrow,http://terminology.hl7.org/CodeSystem/v2-0487,,
MASS,Mass,HL70487,"F-R4, F-R6",,,,,MASS,,Mass,http://terminology.hl7.org/CodeSystem/v2-0487,,
MBLD,"Blood, Menstrual",HL70487,"F-R4, F-R6",,,,,MBLD,,"Blood, Menstrual",http://terminology.hl7.org/CodeSystem/v2-0487,,
MEC,Meconium,HL70487,"F-R4, F-R6",,,,,MEC,,Meconium,http://terminology.hl7.org/CodeSystem/v2-0487,,
MILK,Breast milk,HL70487,"F-R4, F-R6",,,,,MILK,,Breast milk,http://terminology.hl7.org/CodeSystem/v2-0487,,
MLK,Milk,HL70487,"F-R4, F-R6",,,,,MLK,,Milk,http://terminology.hl7.org/CodeSystem/v2-0487,,
MUCOS,Mucosa,HL70487,"F-R4, F-R6",,,,,MUCOS,,Mucosa,http://terminology.hl7.org/CodeSystem/v2-0487,,
MUCUS,Mucus,HL70487,"F-R4, F-R6",,,,,MUCUS,,Mucus,http://terminology.hl7.org/CodeSystem/v2-0487,,
NAIL,Nail,HL70487,"F-R4, F-R6",,,,,NAIL,,Nail,http://terminology.hl7.org/CodeSystem/v2-0487,,
NASDR,"Drainage, Nasal",HL70487,"F-R4, F-R6",,,,,NASDR,,"Drainage, Nasal",http://terminology.hl7.org/CodeSystem/v2-0487,,
